text,label
so should we take a cab or the metro to the metro station,question
arre what's up,ordinary
by the way the ladder is shaky don't climb it alone,risk
actually let's meet at early morning not 4 pm right,decision
uh scrap the old plan we start fresh from saturday,decision
did anyone ask the delivery guy about the rent you know,question
so let's go ahead with my brother's suggestion you know,decision
arre task for friday is to submit the form,task
by the way acha okay na,ordinary
so can you check when the interview starts,question
so make sure the presentation reaches sarah by 4 pm,task
that link rahul forwarded looks like a scam,risk
actually did you see how crowded the bank was,ordinary
news says the bank metro line opens sunday,info
you know is the grocery store open on sunday or not,question
we are shifting the class from tomorrow to tomorrow,decision
by the way does anyone know where i kept the keys,question
how do we get to the market from here,question
let's move the flight to thursday,decision
uh the new timings for the pharmacy are 8 pm to early morning,info
did you see how crowded the clinic was,ordinary
so what's up,ordinary
okay so the ladder is shaky don't climb it alone you know,risk
by the way hey the door is unlocked someone should check,risk
that link the teacher teacher forwarded looks like a scam,risk
by the way can you find a good deal on the report,question
actually can you fix the tap when you get time,task
listen someone has to call the plumber before the flight yaar,task
actually i'm worried our neighbour sounded really unwell on the call,risk
okay so hmm yeah makes sense,ordinary
so the flight venue changed to the bank,info
actually actually cool cool actually,ordinary
my brother is getting discharged day after tomorrow morning yaar,info
so watch out the brakes feel loose you know,risk
we decided to cancel the trip right,decision
don't forget to send the email,task
arre my boss shifted to the new place last week,info
the results are out tomorrow,info
listen the delivery guy said the wire is sparking please look at it,risk
someone has to collect the laundry before the party na,task
let me set a reminder to fix the tap you know,task
listen haha that's funny yaar,ordinary
the new timings for the clinic are are 1030 to 8 pm,info
dr mehta is getting discharged this weekend morning,info
we'll do the wedding first and pay the electricity bill after,decision
let me finish the tickets tonight and send it over,task
have to submit the documents before the class,task
uh the flight got delayed day after tomorrow,info
by the way okay then this weekend lunchtime is locked for the flight,decision
i'll transfer 2000 rupees to the plumber by this weekend,task
just heard that the train is running late,info
by the way we'll attend to it later i guess,ordinary
make sure the documents reaches the electrician by lunchtime,task
i need to recharge the phone before 7 in the evening,task
the report finally got delivered to the metro station,info
you know the electrician reached safely an hour ago,info
arre someone has to submit the form before the wedding,task
let's cut the budget for the form by a lot,decision
you know the refund of the full amount got credited today,info
let's do the interview at 1030 instead,decision
let me finish finish the report tonight and send it over yaar,task
who should i contact about the rent only,question
i'll follow up with the landlord about the call,task
listen the extension extension board is overheating unplug it,risk
i'll pick up the laptop from the metro station on on my way back,task
i need to recharge the phone before early morning,task
got the confirmation confirmation the laptop ships sunday,info
so still have to confirm the booking with the pharmacy,task
okay so i'm fine thanks,ordinary
anyway anyway how was your day,ordinary
okay so the geyser was on the whole night that's risky,risk
i'll call the teacher wednesday about the photos yaar,task
i think the gas smells weird,risk
you know someone has to send the email before the checkup,task
okay so i'll follow up with rahul about the flight,task
so long time no see,ordinary
hey note it down we must pay the electricity bill by day after tomorrow,task
um good morning everyone,ordinary
by the way that was a great match right,ordinary
by the way i will share the details with my brother after the wedding,task
the medicine expired last month don't take it na,risk
so so tired today man,ordinary
i'll follow up with priya about the review,task
i have to drop the report at the restaurant monday,task
you know how much did we pay for the charger last time you know,question
by the way the bike's tyre looks completely worn out,risk
i'm supposed to send the documents to the teacher today,task
uh the landlord increased the rent by 1200,info
arre our neighbour's fever isn't coming down since thursday na,risk
um the salary got credited early this month,info
don't eat that it's been out since thursday,risk
where do we submit the form,question
hey news says the school metro line opens saturday,info
listen we'll get around to it i suppose na,task
the documents finally got delivered to the pharmacy,info
what time does the restaurant open on wednesday,question
ankit is coming down saturday for the review,info
okay so there's a crack on the wall near the office getting bigger,risk
the call venue changed to the gym,info
you know arre wah nice right,ordinary
i'm not totally sure this is the right call only,decision
you know need to book a cab for 8 pm,task
aunt seema's fever isn't coming down since monday,risk
um not convinced this plan plan works,decision
it's settled dad pays for the tickets this time,decision
mom is coming down sunday for the appointment,info
actually the new timings for the office are 1030 to noon,info
okay so rahul's fever isn't coming down since tomorrow,risk
uh i'm worried sarah sounded really unwell on the call only,risk
my back hurts from sitting all day right,ordinary
actually the plumber is getting discharged wednesday morning,info
is the offer on the invoice still valid,question
we're postponing the party to this this weekend,decision
listen how long does it take to reach the pharmacy,question
so how long does it take to reach the bank,question
so i need to recharge the phone before 1030,task
so could you find out the fees fees for the appointment,question
good morning everyone,ordinary
um i miss miss home food right,ordinary
uh let's move the checkup to saturday,decision
let me finish the medicine tonight and send it over,task
acha okay,ordinary
hey how many people are coming to the meeting,question
hey that link the delivery guy forwarded looks like a scam,risk
okay okay so long time no see,ordinary
uh hahaha good one,ordinary
listen i had biryani for lunch,ordinary
that link the plumber forwarded looks like a scam,risk
what did the doctor say about the reports na,question
there's water leaking near the switchboard you know,risk
listen our slot at the gym got moved to 530,info
the pharmacy is running a big sale till next week,info
can someone find out if the grocery store is open tomorrow,question
does anyone know where i kept the documents,question
did you watch that movie yesterday,ordinary
i need to return the library books before 7 in the evening,task
so hmm let me think,ordinary
yeah yeah i know right,ordinary
let's cut the budget for the assignment by a lot na,decision
is the offer on the laptop still valid only,question
by the way rahul is coming down tuesday for the wedding,info
anyway how was was your day,ordinary
so they announced a holiday on tuesday,info
okay so kids these days i tell you only,ordinary
moving the medicine to tonight everyone okay with that done then,decision
okay so task for monday is to recharge the phone,task
actually let's split split the cost of the tickets,decision
um we'll take the morning train instead of the flight,decision
hey let's split the cost of the presentation,decision
um do you know what time the restaurant closes right,question
okay so who should i contact about the charger,question
so so the gym was empty today,ordinary
news says the restaurant metro line opens tomorrow,info
let let me finish the photos tonight and send it over na,task
you know she sings really well,ordinary
arre nothing interesting on tv these days,ordinary
arre i love this place,ordinary
moving the charger to this weekend everyone okay with that done then,decision
scrap the old plan we start fresh from day after tomorrow only,decision
whom do we call if the gym is shut,question
by the way i've decided to quit and look for something better you know,decision
you know the bike's tyre looks completely worn out,risk
the parcel finally got delivered to the bank,info
hey insurance claim got approved for the full amount,info
let's move the interview to this evening na,decision
um is the offer on the presentation still valid,question
i miss home food yaar,ordinary
it's settled my brother pays for the documents this time,decision
arre just scrolling reels you know,ordinary
um the teacher said the office is shifting to the new building,info
okay so did you watch the food yesterday,ordinary
you know i'm skeptical this is is going to work out,decision
um instead of buying let's just rent the report,decision
i smell something burning from the kitchen only,risk
listen the coffee here is decent,ordinary
you know i'll follow up with the delivery guy about the class,task
so tired today man right,ordinary
i'll pick up the documents from the market on my way back actually,task
final call we're skipping the wedding this time only,decision
we decided to cancel the meeting na,decision
arre the refund of 2000 rupees got credited today,info
don't eat that it's been out since friday only,risk
arre update my boss cleared the interview,info
okay so that was a great match,ordinary
actually i'll call ankit thursday about the report,task
do you know what time the grocery store closes,question
moving the rent to wednesday everyone okay with that done then,decision
low balance alert came twice something's wrong with the account right,risk
so good morning everyone right,ordinary
somebody left the gate open all night,risk
um the landlord is getting getting discharged thursday morning,info
um does anyone know where i kept the documents,question
actually kids were playing near the main road again only,risk
i'll follow up with the plumber about the flight you know,task
actually let's meet at 1030 not 1030 actually,decision
the inverter battery is swelling up don't touch it you know,risk
moving the assignment to thursday everyone okay with that done then,decision
um just scrolling scrolling reels,ordinary
it's settled aunt seema pays for the presentation this time,decision
got the confirmation the parcel ships tuesday,info
okay so i'm secondguessing this whole plan,decision
did you notice the milk has gone bad,risk
what time does the gym open on tuesday,question
did you notice the gas smells weird only,risk
the landlord got selected for the job,info
pending item is to pick up the medicine don't let me forget,task
you know the meeting venue changed to the clinic,info
you know rahul said the flight got delayed,info
can you find a good deal on the presentation,question
i'm skeptical this is going to work out,decision
moving the documents to wednesday everyone okay with that done then,decision
so someone has to book the tickets before the wedding,task
what a boring day na,ordinary
i need to call the plumber before 530,task
news says the school metro line opens friday,info
okay so moving the photos to friday everyone okay with that done then,decision
okay then sunday 4 pm is locked for the review,decision
the plumber hasn't picked up the phone since 1030,risk
low balance alert came twice twice something's wrong with the account,risk
i'll transfer more than expected to my brother by thursday only,task
so i'll send the documents by saturday,task
don't forget to pick up the medicine,task
so our slot at the school got moved to 530,info
which bus goes to the clinic,question
uh we decided to cancel the appointment,decision
someone has to book the tickets before the class,task
street dogs near the airport looked aggressive today,risk
our slot at the gym got moved to early morning,info
um my brother hasn't picked up the phone since 8 pm,risk
by the way the food was really good,ordinary
rahul said the wire is sparking please look at it actually,risk
arre the inverter battery is swelling up don't touch it,risk
the internet banking otp came without me me doing anything,risk
did you notice the tap is leaking badly,risk
by the way the call venue changed to the service center you know,info
so got the confirmation the rent ships monday,info
listen the salary got credited early this month you know,info
so whom do we call if the airport is shut,question
can you look up the number for the bank,question
hey the review venue changed to the market right,info
by the way news says the pharmacy metro line opens this weekend,info
i'll pick up the assignment from the pharmacy on my way back right,task
by the way make sure the parcel reaches the delivery guy by 1030,task
is the service center open on tonight or or not,question
the train is running late next week,info
i think the milk has gone bad you know,risk
by the way is the restaurant open on monday or not,question
okay so the electrician shifted to the new place last week actually,info
scrap the old plan we start start fresh from tomorrow,decision
so watch out the wire is sparking,risk
so could you find out the fees for the flight,question
the teacher's fever isn't coming down since tonight,risk
this tea is perfect,ordinary
our booking at the metro station is confirmed for this evening only,info
okay so how do we get to the bank from here,question
actually moving the charger to monday everyone okay with that done done then only,decision
listen how long does it take to reach the gym,question
actually i smell something burning from the kitchen,risk
let's cut the budget for the assignment by half of it,decision
good morning everyone actually,ordinary
uh acha okay yaar,ordinary
rahul is getting discharged day after tomorrow morning you know,info
should we take a cab or the metro to the clinic,question
you know we'll deal with it eventually you know,task
do you know know what time the clinic closes,question
listen how many people are coming to the checkup right,question
we really need to address this at some point,task
actually let's meet at 7 in the evening not 9 am,decision
remind me to collect the laundry friday actually,task
is there a way to reschedule the wedding,question
listen that meme was hilarious yaar,ordinary
i'll send the charger by sunday you know,task
arre watch out the balcony railing is loose,risk
so let's cancel the cab and take the train,decision
how much did we pay for the charger last time yaar,question
still have have to confirm the booking with the office,task
i don't know if that's going to hold up,decision
actually the internet banking otp came without me doing anything,risk
um careful the door is unlocked right,risk
final call we're we're skipping the checkup this time,decision
arre watch out the stove is still on,risk
is the gym open on sunday or or not,question
let me finish the report tonight and send it over,task
the pharmacy is running a big sale till tonight,info
the delivery guy is coming down wednesday for the review,info
hey the strike is over buses are back from thursday,info
arre they announced a holiday on day after tomorrow,info
by the way hey the wire is sparking someone should check,risk
by the way mom hasn't picked up the phone since 8 pm,risk
listen this tea is perfect right,ordinary
got the confirmation the tickets ships thursday,info
actually i'll transfer half of it to the landlord by tomorrow,task
how much did we pay for the parcel last time na,question
listen i miss home food,ordinary
our booking at the grocery store is confirmed for tomorrow,info
listen you take care of the form and i'll handle the rest,task
listen let's split the cost of the invoice,decision
um somebody has to deal with this at some point,task
actually the plumber's fever isn't coming down since wednesday,risk
the new timings for the the gym are 7 in the evening to 4 pm,info
whom do we call if the metro station is shut you know,question
by the way insurance claim got approved for the full amount,info
let's cut the budget for the invoice invoice by more than expected,decision
okay so don't forget to water the plants,task
how many people are coming to the review right,question
still have to confirm the the booking with the bank,task
task for thursday is to collect the laundry yaar,task
did you see how crowded the clinic was was only,ordinary
what was the address aunt seema sent,question
who should i contact about the parcel,question
how do we get to the office from here,question
i'll follow up with with dr mehta about the flight,task
you know okay then day after tomorrow 530 is locked for the party,decision
okay so the pressure cooker whistle whistle is stuck be careful,risk
uh the delivery guy confirmed the appointment is at 4 pm you know,info
have to submit the medicine before the flight,task
hey the exam got postponed next week,info
so lol na,ordinary
actually let's meet at noon not 8 pm,decision
the rent finally got delivered to the bank only,info
how long does it take to reach the restaurant,question
so i'm worried dr mehta sounded really unwell on the call,risk
our slot at the metro station got moved to 530,info
could you find out the fees for the interview you know,question
remind me to book the tickets day after tomorrow,task
i'm supposed to send the keys to priya today,task
did anyone ask the plumber about the medicine,question
um should we take a a cab or the metro to the pharmacy,question
you know arre wah nice you know,ordinary
um the results are out tonight,info
listen the teacher is getting discharged wednesday morning,info
so let's split the cost of the presentation right,decision
have to submit the photos before the review,task
okay then next week 1030 is locked for the class,decision
hey the new phone phone looks nice though,ordinary
arre this song is stuck in my head,ordinary
you know low balance alert came twice something's wrong with the account,risk
our slot at the restaurant got moved to 530,info
i need to water the plants before 9 am,task
uh lol,ordinary
um i'll follow up with mom about the review only,task
by the way need to book a cab for noon,task
so the coffee here is decent,ordinary
we'll attend to it later later i guess,task
you know long time no see yaar,ordinary
the refund of a lot got credited today,info
actually yeah i know right,ordinary
how long does does it take to reach the market,question
so i'm worried the delivery guy sounded really unwell on the call,risk
my boss said the meeting got cancelled you know,info
does anyone know where i kept the laptop,question
fine let's not invite the landlord then,decision
by the way i need to pick up the medicine before 1030,task
um just heard that the office is shifting to the new building right,info
um i think the gas smells weird,risk
so don't eat that it's been out since sunday actually,risk
actually where do we submit the parcel,question
the electrician texted that the review is is happening at the gym,info
let's cancel the cab and take the train only,decision
can can you return the library books when you get time,task
arre we are shifting the wedding from tomorrow to thursday,decision
um is the market open on wednesday or not,question
um low balance alert came twice something's wrong with the account,risk
so the meeting venue changed to the service center,info
actually we'll do the wedding first and recharge the phone after,decision
actually let's meet at early morning not 1030,decision
um someone has to pick up the medicine before the call,task
arre actually let's meet at 530 not noon,decision
let's drop the idea idea of the party this month right,decision
um the call venue changed to the restaurant,info
so we'll deal with it eventually,task
so the medicine expired last month don't take it only,risk
can somebody check the status of the photos,question
someone has to renew the insurance before the class,task
um nothing interesting on tv these days actually,ordinary
we're postponing the review to tomorrow,decision
i'll pick up the photos from the service center on my way back,task
arre actually let's meet at early morning not 8 pm,decision
listen part of me thinks this won't work,decision
arre what was the address priya sent,question
the strike is over buses are back from tomorrow na,info
uh the internet banking otp came without me doing anything,risk
arre note it down we must call the plumber by wednesday,task
good morning morning everyone,ordinary
okay so what did the doctor say about the reports,question
uh watch out the door is unlocked,risk
so hey the floor is wet someone should check actually,risk
hey i'll call priya wednesday about the keys,task
arre got the confirmation the documents ships this evening,info
okay so instead of buying let's just rent the keys,decision
did anyone ask sarah about the photos yaar,question
the ceiling fan fan is wobbling badly get it checked,risk
arre which bus goes to the grocery store,question
i'll follow up with my boss about the checkup,task
we are shifting the flight from this weekend to friday,decision
my boss's fever isn't coming down since tomorrow actually,risk
you know who should i contact about the rent,question
i'll transfer a lot to dad by this weekend,task
we agreed to keep the checkup at the grocery store itself,decision
that link ankit forwarded looks like a scam yaar,risk
um we'll do the class first and call the plumber after only,decision
the deadline for the photos moved to friday,info
okay so our slot at the restaurant got moved to noon,info
you know let's book the bank before the prices go up,decision
okay so did you see how crowded the airport was,ordinary
i'll call ankit friday about the tickets,task
is the bank open on next week or not,question
actually how much did we pay for the tickets last time right,question
let's let's do the checkup at noon instead,decision
arre she sings really well,ordinary
listen priya reached safely an hour ago,info
listen dr mehta's fever isn't coming down since sunday,risk
the inverter battery is swelling up don't touch it,risk
how many people are coming to the appointment only,question
they announced a holiday on tomorrow,info
okay so acha okay,ordinary
by the way results came and she passed with distinction,info
what time does the pharmacy open on friday,question
arre the bike's tyre tyre looks completely worn out,risk
actually i think the tap is leaking badly,risk
actually the deadline for the medicine moved to sunday,info
can you find a good deal on the report,question
someone needs needs to sort this out na,ordinary
arre the deadline for the rent moved to wednesday,info
need to book a cab for 1030 right,task
street dogs near the bank looked aggressive today you know,risk
i had had biryani for lunch,ordinary
um yeah,ordinary
the new timings for the school are noon to 8 pm,info
actually let's meet at 4 pm not 7 in the evening,decision
actually the bike's tyre looks completely worn out,risk
you know what time does the restaurant open on this evening,question
so let's move the checkup to this evening,decision
the landlord increased the rent by 500 rupees,info
i'm supposed to send the the report to the landlord today na,task
let's cut the budget for the tickets by 500 rupees,decision
dr mehta is getting discharged next week morning,info
that actor is so good in in the match yaar,ordinary
arre should we take a cab or the metro to to the school you know,question
i think the door is unlocked,risk
what did the doctor say about the reports you know,question
someone has to collect the laundry before the flight,task
the pharmacy is running a big sale till this weekend,info
is there a way to reschedule the checkup,question
pending item is to collect the laundry don't let me forget actually,task
you know fine let's not invite my brother then,decision
my boss shifted to the new place last week,info
actually final call we're skipping the wedding this time,decision
i think the wire is sparking,risk
uh careful the iron was left plugged in yaar,risk
careful the door is unlocked,risk
i'll follow up with my brother about the class,task
by the way did you see how crowded the gym was,ordinary
uh did you notice the floor is wet,risk
so kids were playing near the main road again,risk
okay so i'll transfer the full amount to dr mehta by day after tomorrow,task
sarah shifted to the new place last week,info
actually what's up,ordinary
is there a way to reschedule the party right,question
the medicine expired last month don't don't take it,risk
kids were playing near the main road again yaar,risk
you know the plumber hasn't picked up the phone since 1030 na,risk
hahaha good one,ordinary
my boss's fever isn't coming down since next week,risk
i'll call dr mehta monday about the keys,task
uh yeah i know right,ordinary
listen i love this place,ordinary
we agreed to keep the party at the school itself right,decision
we'll do the trip first and pay the electricity bill after,decision
long time time no see only,ordinary
okay so i've decided to quit and look for something better,decision
the delivery guy said the school is closed,info
i love this place only,ordinary
okay so how do we get to the gym from here,question
the report finally got delivered to the clinic,info
i'm worried our neighbour sounded really unwell on the call,risk
listen she sings really well,ordinary
let's go ahead with rahul's suggestion,decision
the invoice finally got delivered to the office,info
the pressure cooker whistle is stuck be careful yaar,risk
by the way yeah i know right,ordinary
um first thing sunday morning i'll send the email,task
the strike is over buses are back from wednesday,info
haha that's funny you know,ordinary
my boss got selected for the job,info
okay so the strike is over buses are back from wednesday,info
remind me to water the plants wednesday,task
i'm fine thanks na,ordinary
so that link aunt seema forwarded looks like a scam,risk
arre it's settled the delivery guy pays for the charger this time,decision
update aunt seema cleared the interview,info
i'm worried mom sounded really unwell on the call right,risk
can you find a good deal on the parcel,question
let's cut the the budget for the rent by 2000 rupees,decision
okay so first thing thing tuesday morning i'll call the plumber,task
the landlord texted that the wedding is happening at the grocery store,info
i'll follow up with mom about the party,task
i'm supposed to send the laptop to the teacher today,task
um let's split the cost of the tickets,decision
um how much much did we pay for the laptop last time,question
uh the internet banking otp came without me doing anything na,risk
my brother confirmed the flight is at noon,info
let me finish the presentation tonight and send it over,task
listen can you check when the flight starts only,question
listen hmm let me think,ordinary
um the food was really good,ordinary
arre we'll attend attend to it later i guess,ordinary
the plumber got selected for the job,info
by the way yeah i know right you know,ordinary
by the way the delivery guy is getting discharged saturday morning,info
actually ankit said the brakes feel loose loose please look at it only,risk
arre priya got selected for the job,info
so can somebody check the status of the rent,question
still have to confirm the booking with the grocery store,task
so instead of buying let's just rent the medicine,decision
you know the plumber texted that the meeting is happening at the office yaar,info
actually i love this place only,ordinary
hey the internet banking otp came without me doing anything right,risk
the train is running late tomorrow,info
okay so don't eat that it's been out since this evening,risk
did anyone ask priya about the report,question
um that was a great match right,ordinary
dad's fever isn't coming down since monday,risk
listen we're switching to the new plan from tuesday,decision
i said i'd help the electrician with the report monday,task
is the bank open on saturday or not,question
is there a way to reschedule the wedding wedding right,question
arre haha that's funny,ordinary
um the landlord is coming down this evening for the class,info
you know the teacher texted that the checkup is happening at the office,info
arre is it possible to change the date of the review,question
what was the address my boss sent,question
so is the metro station open on thursday or not,question
so the the traffic was crazy as usual,ordinary
listen there's a crack on the wall near the pharmacy getting bigger you know,risk
what time does the metro station open on friday actually,question
by the way what a boring day actually,ordinary
listen there's a crack on the wall near the clinic getting bigger,risk
uh we should hang out sometime yaar,ordinary
let's drop the idea of the the trip this month,decision
i'm worried my boss sounded really unwell on the call only,risk
uh did you notice the floor is is wet actually,risk
uh he's always late anyway,ordinary
actually news says the market metro line opens tomorrow,info
actually task for saturday is to collect the laundry,task
okay so who should i contact about the rent only,question
let's drop the idea of the flight this month,decision
watch out the wire is sparking,risk
can you look up the number for the grocery store,question
it's settled aunt seema pays for the charger this time yaar,decision
listen what a boring day,ordinary
listen watch out the floor is wet yaar,risk
not sure who's handling that but someone should actually,ordinary
news says the office metro line opens friday yaar,info
let's book the pharmacy before the prices go up,decision
actually this song is stuck in my head,ordinary
by the way did you see how crowded the airport was,ordinary
uh our booking at the school is confirmed for thursday,info
listen note it down we must return the library books by this evening,task
this song is is stuck in my head,ordinary
we really need to address this at some some point,task
i have to drop the report at the office sunday only,task
actually sarah said the office is shifting to the new building na,info
uh how long does it take to reach the airport only,question
okay final we're going with the cheaper option you know,decision
you know there's a crack on the wall near the market getting bigger,risk
hey what time does the restaurant open on tonight,question
so i'll send the medicine by tonight,task
aunt seema got selected for the job,info
by the way we decided to cancel the appointment,decision
so moving the report to saturday everyone okay with that done then,decision
the bike's tyre looks completely worn out,risk
does anyone know where i kept the keys,question
by the way they announced a holiday on sunday,info
you take care of the charger and i'll handle the rest,task
my brother confirmed the class is at 8 pm,info
so scrap the the old plan we start fresh from monday,decision
